股票代码,股票名称,当日股价,当日涨跌幅,操作策略,持有天数,持有期间总收益率,回测期间总收益率
sh.600507,方大特钢,4.83,0.21,观望,0,0.0,0.0
sh.600506,统一股份,20.11,-0.35,卖出,2,1.41,60.86
sh.600510,黑牡丹,5.12,-0.19,观望,0,0.0,0.0
sh.600501,航天晨光,19.8,-1.59,观望,0,0.0,0.0
sh.600508,上海能源,12.0,0.76,持有,99,-0.91,16.61
sh.600512,腾达建设,2.35,0.0,观望,0,0.0,0.0
sh.600509,天富能源,6.56,-0.91,观望,0,0.0,0.0
sh.600513,联环药业,12.38,-5.35,观望,0,0.0,0.0
sh.600517,国网英大,5.4,2.66,观望,0,0.0,0.0
sh.600515,海南机场,3.64,-0.55,卖出,22,8.66,29.08
sh.600516,方大炭素,4.68,-0.43,观望,0,0.0,0.0
sh.600511,国药股份,29.06,0.0,持有,19,0.24,39.06
sh.600518,康美药业,2.11,9.9,观望,0,0.0,0.0
sh.600519,贵州茅台,1418.88,0.2,持有,105,-9.97,-24.68
sh.600522,中天科技,14.29,-0.63,观望,0,0.0,0.0
sh.600523,贵航股份,14.97,6.02,持有,2,5.94,-48.15
sh.600527,江南高纤,2.12,-0.47,观望,0,0.0,0.0
sh.600528,中铁工业,7.5,0.67,观望,0,0.0,0.0
sh.600521,华海药业,21.15,-4.73,观望,0,0.0,0.0
sh.600525,ST长园,3.36,-1.18,观望,0,0.0,0.0
sh.600520,三佳科技,28.67,-0.21,观望,0,0.0,0.0
sh.600526,菲达环保,4.88,-0.2,观望,0,0.0,0.0
sh.600529,山东药玻,22.15,0.36,持有,2,0.82,-11.76
sh.600530,交大昂立,9.22,10.02,持有,16,0.11,-9.03
sh.600531,豫光金铅,8.0,-3.38,观望,0,0.0,0.0
sh.600533,栖霞建设,2.69,1.51,观望,0,0.0,0.0
sh.600535,天士力,15.86,-0.06,观望,0,0.0,0.0
sh.600536,中国软件,45.11,-0.75,持有,6,-0.68,-17.08
sh.600537,亿晶光电,3.97,9.97,观望,0,0.0,0.0
sh.600540,新赛股份,5.16,-1.71,观望,0,0.0,0.0
sh.600538,国发股份,5.57,-1.24,卖出,19,3.92,14.47
sh.600539,狮头股份,11.15,-0.71,观望,0,0.0,0.0
sh.600543,莫高股份,6.4,-2.14,观望,0,0.0,0.0
sh.600545,卓郎智能,2.54,1.6,观望,0,0.0,0.0
sh.600547,山东黄金,31.4,-2.55,观望,0,0.0,0.0
